OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
372,LOCAL,LOCAL,LOCAL,,,LOCAL,San Jose annex 9/9/15,8148.9525270462,498.995476957602
373,LOCAL,LOCAL,LOCAL,,,LOCAL,San Juan Bautista annexes,26301.9892807007,1536.02267674314
374,LOCAL,LOCAL,LOCAL,,,LOCAL,San Ramon annex 11/13/14,103876.458638668,1398.62367778315
375,LOCAL,LOCAL,LOCAL,,,LOCAL,San Ramon annex 11/15/16,181223.424136162,1782.21066818273
376,LOCAL,LOCAL,LOCAL,,,LOCAL,Santa Clarita annex 11/15/16,2646472.85014725,18518.8735182619
377,LOCAL,LOCAL,LOCAL,,,LOCAL,Santa Rosa annex 9/9/15,24407.5875988007,812.256933484363
378,LOCAL,LOCAL,LOCAL,,,LOCAL,Thousand Oaks annex 3/15/16,1175.94553756714,139.402582380094
379,LOCAL,LOCAL,LOCAL,,,LOCAL,Thousand Oaks annex 7/22/15,81408.0570755005,1777.17490176071
380,LOCAL,LOCAL,LOCAL,,,LOCAL,Tiburon annex 6/12/15,1107.42181897163,137.215952917608
381,LOCAL,LOCAL,LOCAL,, ,LOCAL,,7887245.63117802,42497.6951988912
382,LOCAL,LOCAL,LOCAL,, ,LOCAL,Fort Bragg annex/error fix,23396.9908256531,745.575815019929
383,LOCAL,LOCAL,LOCAL,, ,LOCAL,"From BLM to local, no agreement in place for BLM to protect ",50063453.1119843,187922.892257111
384,LOCAL,LOCAL,LOCAL,,,LOCAL,,3147339.51349114,506389.575752779
385,LOCAL,LOCAL,LOCAL,,,LOCAL,,23288551.46358,65868.5861306455
386,LOCAL,LOCAL,LOCAL,,,LOCAL, ,22084020.3552055,23445.2135989758
387,LOCAL,LOCAL,LOCAL,,,LOCAL," boundary adjustments; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1910621.12365723,7746.40092259705
388,LOCAL,LOCAL,LOCAL,,,LOCAL," DOE contract for local; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",27694184.3275485,23546.0077676895
389,LOCAL,LOCAL,LOCAL,,,LOCAL,"4/7/05 based on parcel data; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",625653.043886185,4676.25107936633
390,LOCAL,LOCAL,LOCAL,,,LOCAL,"5/13/05 Updated with 2005 rev; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",24405285.0994902,24464.997485542
391,LOCAL,LOCAL,LOCAL,,,LOCAL,"added in 2000, more in 2005; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2257785.81261444,9299.7078883705
392,LOCAL,LOCAL,LOCAL,,,LOCAL,Arcata annex,34786.7631454468,1748.01919501161
393,LOCAL,LOCAL,LOCAL,,,LOCAL,"Are these Local?; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",4568373.016716,9694.77681835544
394,LOCAL,LOCAL,LOCAL,,,LOCAL,Auburn annex,63061.3672685623,1034.52978466133
395,LOCAL,LOCAL,LOCAL,,,LOCAL,"Automatic SRA change AEU-30, passed 6/24/14",4609.26990938187,328.552474692055
396,LOCAL,LOCAL,LOCAL,,,LOCAL,Automatic SRA change SLU-59 passed 8/21/14,15798.2555007935,698.041361774862
397,LOCAL,LOCAL,LOCAL,,,LOCAL,Changing to LRA 7/1/15,313479.322795868,3362.64060780803
398,LOCAL,LOCAL,LOCAL,,,LOCAL,"created 2005 SRA rev; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",137749.634490967,2381.25668934463
399,LOCAL,LOCAL,LOCAL,,,LOCAL,"created in 2005 SRA rev; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1483395.01736927,7644.00411158597
400,LOCAL,LOCAL,LOCAL,,,LOCAL,"Cut background poly to match update. Changed attributes to match update.; PreCom: NPS correction of CDF change; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2726421.83972549,9546.7216605998
401,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:    Minor change from 2015 SRA Review,841959.510458946,9146.02771742108
402,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  AEU_001  CDF to LOCAL,181502.994036675,2046.9471359413
403,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  AEU_002  CDF to LOCAL,1067775.16656971,5351.92070670573
404,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  CZU_001  CDF to LOCAL,30775.0355234146,1200.91221618798
405,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  CZU_002  CDF to LOCAL,181941.177196503,1811.99251277861
406,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  CZU_003  CDF to LOCAL,95638.9722232819,1546.18488636766
407,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  LAC_005  CDF to LOCAL,10551.6141090393,473.67182945098
408,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID:  LMU_024  Was SRA protected by FED, now LRA",1692138.71926117,7182.59333531571
409,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  LMU_031  ,13652.1893310547,652.986897050923
410,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID:  LMU_036  Was SRA protected by FED, now LRA",173722.327610016,2699.14236765072
411,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  LNU_002  CDF to LOCAL,26525374.592535,61509.0748541353
412,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  MVU_046  ,421954.168106079,2923.56656979853
413,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  MVU_050  ,315957.33039856,3382.26804878411
414,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  MVU_073  ,177226.734237671,3198.12150930516
415,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  MVU_074  ,23610.8363952637,883.233170886298
416,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  MVU_082  ,9687.39501953125,605.670515952713
417,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SBC_001  SRA to LRA in 2015 SRA Review,459347.303927898,3157.75489268107
418,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SBC_002  SRA to LRA in 2015 SRA Review,537393.182855606,3652.1072440444
419,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SBC_003  SRA to LRA in 2015 SRA Review,722089.340755463,4349.68805088608
420,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SBC_004  SRA to LRA in 2015 SRA Review,970139.387940407,5113.13534621678
421,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SBC_005  SRA to LRA in 2015 SRA Review,815695.692037582,4202.88747392434
422,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  SCU_009  ,368877.481391907,9455.5139962614
423,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TGU_010  CDF to LOCAL,19035553.7272987,37125.8939417428
424,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TGU_011  CDF to LOCAL,7047831.03608704,16133.5173419
425,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TGU_012  CDF to LOCAL,47047027.2188797,47198.9622974785
426,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TGU_017  CDF to LOCAL,226134.99477005,2994.27570073935
427,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_039  Minor change from 2015 SRA Review,550.411479949951,132.358085354523
428,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_044  Minor change from 2015 SRA Review,310157.433539391,3291.25606663862
429,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_045  Minor change from 2015 SRA Review,470129.792354584,3779.31792072111
430,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_048  Minor change from 2015 SRA Review,30657.769949913,751.201131919136
431,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_050 Minor change from 2015 SRA Review,873791.423927307,4971.20177503586
432,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_051  Minor change from 2015 SRA Review,495551.44179821,3272.82419513681
433,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  TUU_053  Minor change from 2015 SRA Review,26895.0378303528,1313.45740341792
434,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  VNC_041  ,124758.591098785,1741.86085030616
435,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID:  VNC_058  ,135626.785114288,2350.70460648315
436,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_BTU_01  City of Oroville,561548.339076996,12032.5069152089
437,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_CZU_01  City of Pacifica,154892.718584061,1574.69958082475
438,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_HUU_01  LRA in or adjacent to Crescent City,187662.724807739,7046.40980381443
439,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_LAC_01  City of Santa Clarita,550165.624500275,4187.86209073133
440,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_LNU_01  Part of City of Petaluma,167924.009018421,1768.42970346629
441,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_LNU_02  City of Clearlake,75605.200674057,1326.93775801955
442,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_MEU_01  Part of City of Fort Bragg,14232.377532959,1056.67886948014
443,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_MEU_02  City of Ukiah,30459.2234077454,3223.65055830706
444,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_MVU_01  Part of City of Poway,151099.748214722,1555.91511088299
445,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_NEU_01  Wheatland annexation,12184927.373497,18980.575355709
446,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: CDFAUTO_ORC_01  Mission Viejo annexation, and not FRA",99265.6459503174,1350.68090736094
447,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_RRU_01  City of Corona,103391.050758362,1550.68378668503
448,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_RRU_02  LRA in or adjacent to City of Riverside,135728.970985413,2589.38444994398
449,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_RRU_03  Unincorporated LRA near Desert Hot Springs,296552.357498169,2881.1637899954
450,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_SCU_01  City of Los Altos Hills,127240.43556881,2361.8607561899
451,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_SCU_02  City of Pleasanton,89672.2938709259,2596.28846997898
452,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_SCU_03  City of Saratoga,107704.905058861,2594.90875617455
453,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_SCU_05  City of Los Gatos,42730.3627567291,2429.87017733562
454,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_SCU_06  City of Los Gatos,17326.5245962143,1174.4781054733
455,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: CDFAUTO_TCU_01  City of Sonora,98060.64003345,1290.42655256239
456,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: HUU_002  CDF to LOCAL,117014.965759277,1691.1576446066
457,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SBC_006  Blank DPA area, make LOCAL",25245.282324791,1031.71678368168
458,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SBC_007  Blank DPA area, make LOCAL",6941.36232280731,371.371944034087
459,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SBC_009  Blank DPA area, make LOCAL",4416.59260606766,822.554725724412
460,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SCU_001  Annexation,258157.391459346,5133.52243313185
461,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SCU_008  LRA should be LOCAL protection,129368.77308917,1701.2843609681
462,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SHU_002  CDF TO LOCAL,131393.856987,3101.80803302307
463,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SKU_001  Corrected city boundary (LOCAL protection),9320262.82923889,27200.3470260713
464,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SKU_004  LRA to LOCAL protection (also within city),5467.66728973389,427.72654791682
465,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SLU_003  LOCAL DPA,36088.6444606781,1268.24939422884
466,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SLU_004  Blank DPA area, make LOCAL",16273.9536533356,600.810807686266
467,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SLU_005  Blank DPA, make LOCAL",9319.38848876953,492.128490635761
468,LOCAL,LOCAL,LOCAL,,,LOCAL,"DPA ID: SLU_007  Blank DPA area, make LOCAL",7076.41935539246,660.788131549557
469,LOCAL,LOCAL,LOCAL,,,LOCAL,DPA ID: SLU_008  LOCAL DPA,26453.627325058,1471.26450138972
470,LOCAL,LOCAL,LOCAL,,,LOCAL,"expanded, 2005 SRA rev; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2607362.35506916,8821.07956925608
471,LOCAL,LOCAL,LOCAL,,,LOCAL,Imperial Wildlife Area,21325740.0101776,30068.155583878
472,LOCAL,LOCAL,LOCAL,,,LOCAL,"Incorporated city; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1566872.27529144,7510.36467078995
473,LOCAL,LOCAL,LOCAL,,,LOCAL,Mission Viejo annex,10745.5785217285,806.515138408883
474,LOCAL,LOCAL,LOCAL,,,LOCAL,Nevada City Annex,20262.7737951279,1008.34459151675
475,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_02140221_0953; Merged update poly. Changed attributes to update.; PreCom: created in 2005 SRA rev; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",4134580.64334106,12781.5285516717
476,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1247; Changed attributes only.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1498425.95350647,6279.64205033204
477,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1248; Changed attributes only; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",12884534.3925819,25629.5031483623
478,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1251; Only changed attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",648094.180797577,4803.76723653571
479,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1301; Split lower poly and then reshaped the update poly to match the provided updates. CHanged the attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",7025218.80860901,21410.1432162607
480,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1305; Split the lower poly to allow for the updated poly. The middle then became the updated feature. Changed the attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",320302.240619659,2575.18443281857
481,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1530; Split the upper poly to match the update poly. Changed the attributes to update. Merged due to attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",3951824.45486069,16458.0533183377
482,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1537; Split containing poly. Changed attributes to updated.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1481548.88990784,7794.62550464024
483,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1541; Split containing poly. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",437191.969688416,2854.9542475014
484,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1559; Chaned attributes to update. Precom: Escondido; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",637130.879241943,3193.09523793718
485,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1605; Changed attributes to update.; NJC_20140213_1546; Split the lower poly and then merged with then merged the lower with the update. Attributes the same as lower poly.;Precom: Escondido; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",206602769.122192,294209.086283945
486,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1609; Changed attributes to update.; PreCom: Poway - San Diego County; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",3580773.36256409,9681.82002902214
487,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1612; Changed attributes to update.; PreCom: Poway - San Diego County; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",537549.414077759,3326.40588053629
488,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140213_1614; Changed attributes to update. Then merged with like attributed poly.; PreCom: Poway - San Diego County; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",96389389.3680267,62135.0844245186
489,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_2014021536; Split the upper poly and then merged with the lower because attributes are the same.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",639987563.69355,417764.334032703
490,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0834; Changed attributes only; PreCom: Poway - San Diego County; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",342904.667816162,2500.88899835973
491,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0837; Changed only attributes.; PreCom: Poway - San Diego County; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",336154.590759277,2457.83001174538
492,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0856; Merged several features within this poly with like attributes.Then reshaped feature to match update poly. Attributes were the same.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",12036111.2073684,20169.4252991772
493,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0906; Merged like attributes.Then reshaped feature to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",4077289.43746591,17687.567398705
494,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0919; Merged like attributes.Then reshaped feature to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2492915.24999022,8611.75588579339
495,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0927; Cut background poly to match update. Chnaged attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",3421968.5649569,14648.8000121359
496,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0937; Cut background poly to match update. Chnaged attributes to match update. Merged like attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",34634750822.3511,6894259.67762307
497,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0941; Changed attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2687237.40275574,15974.1404086317
498,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0944; Cut background poly to macth update. Changed attributes to match update. Merged like attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",113659387.701745,113896.414360108
499,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0949; Cut background poly to macth update. Changed attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",299935.764771461,2582.57762246975
500,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_0952; Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",401041.828109503,5211.83669937961
501,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1000; Changed attributes to match update. Fixed a few slivers.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",12106.4101881981,460.571240234939
502,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1008; Cut background poly to match update. Changed attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1523767.41537285,5863.96575930868
503,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1011; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1172738.0863874,4793.19400986708
504,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1025; Cut background poly to match update. Updated the attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1279853.31284279,8621.93801390491
505,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1029; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",229825.332989343,2491.64873476739
506,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1033; Cut background poly to match update. Changed attributes to match update.; PreCom: Redding; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",250922.234104156,3381.38033512023
507,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1036; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",384669.908601761,2885.45844307427
508,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1038; Cut background pol to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",938506.539066315,4567.90248310834
509,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1042; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",523068.27338028,3866.31392810745
510,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1044; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",16.8410148620605,145.858114017539
511,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1048; Cut background poly to match update. Changed attributes to match update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",3433947.43215179,13159.1918840792
512,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140218_1051; Changed attributes to match update.; PreCom: NPS Correction of CDF Change; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",584307.252733231,5097.32667855547
513,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0741; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",255067.832743645,3610.59422536924
514,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0743; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",172830.145409107,2583.2462784723
515,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0752; Cut background poly to match update. Changed attributes to update. Cleaned slivers around update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1600.9938583374,221.498804490548
516,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0755; Cut background poly to match update. Changed attributes to update. Cleaned slivers around update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",29965.1833496094,750.843390008563
517,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0838; Cut background poly to match update. Changed attributes to update.Cleaned slivers around the update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1163406.83022356,9407.86090372806
518,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0846; Cut background poly to match update. Changed attributes to update. Cleaned slivers around update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",28643.1623032093,1472.42804024785
519,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0903; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",126736.407916069,3734.26014067713
520,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0914; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",64792.7610702515,3217.96525286025
521,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0917; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",22496.4255819321,1135.26378806925
522,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0923; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",44349.2359828949,2005.14707455694
523,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0939; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",152361.438066483,3983.78524784829
524,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_0959; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",23811.7999582291,1467.5587773911
525,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1003; Cut background poly to match update. Changed attributes to update. Merged with like attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",2850911.52874374,12467.5020359607
526,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1005; Cut background poly to match update. Changed attributes to update. Merged like attributes.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",243044774.777755,297163.615280232
527,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1009; Cut background poly to match update. Changed attributes to update. Cleaned slivers around update poly.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",1160283.80803442,7472.60833127304
528,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1024; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",20613703.0936389,26793.1129277168
529,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1028; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",433495.322917938,4076.50404494982
530,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1040; Cut background poly to match update. Changed attributes to update. Cleaned sliver around update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",41407.3814697266,1403.09440373616
531,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1045; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",986763.073925495,9372.08539146351
532,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1051; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",7527464.14965296,21202.4916208032
533,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1052; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",52771.6323804855,1850.71892662613
534,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1155; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",767328.882797241,3509.56495807087
535,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1337; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",52011.9500045776,977.563595760077
536,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1339; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",126496.883792877,1547.81174571157
537,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140219_1341; Cut background poly to match update. Changed attributes to update.; NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",7676418.29219174,12633.5379743539
