OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
194,CDF,STATE,SHU,CASHU,,CDF,"NJC_20140218_1156; Cut background poly to match update. Changed attributes to match update.",554875.848312378,4478.46863271832
195,CDF,STATE,SHU,CASHU,,CDF,"NJC_20140219_0712; Changed atttributes to update.",258015.158348084,3828.25372631825
196,CDF,STATE,SHU,CASHU,,CDF,"NJC_20140219_0721; Cut background poly to match update. Changed attributes to update.",738803.877841949,3749.62088562677
197,CDF,STATE,SHU,CASHU,,CDF,Redding,451290.599552155,5618.17076019753
198,CDF,STATE,SKU,CASKU,,CDF,,96541.6880149841,10746.6125463329
199,CDF,STATE,SKU,CASKU,,CDF,2020 SRA Review: LRA to SRA,83822444.5443993,136527.233172997
200,CDF,STATE,SKU,CASKU,,CDF,Error fix. ,88266.7309799194,5000.59935646327
201,CDF,STATE,SKU,CASKU,,CDF,Error fix. Alignment to incorporated city boundary,13659.4383621216,1491.44612599575
202,CDF,STATE,SKU,CASKU,,CDF, ,1162197.22900391,9814.6600011102
203,CDF,STATE,SKU,CASKU,,CDF,DPA ID: SKU_002  SRA to CDF protection,570426.71824646,3885.24048679904
204,CDF,STATE,SKU,CASKU,,CDF,"NJC_20140218_1126; Cut background poly to match update. Changed attributes to match update. Merged like attributes.",5139411274.27986,1276033.13484191
205,CDF,STATE,SKU,CASKU,,CDF,"NJC_20140219_0732; Cut background poly to match update. Changed attributes to update.",414840.382301331,3243.49851675102
206,CDF,STATE,SKU,CASKU,,CDF,"NJC_20140225_1416; Cut background to match update. Changed attributes to update.",25618.6430778503,646.53699367892
207,CDF,STATE,SLU,CASLU,,CDF,2020 SRA Review: LRA to SRA,5741826.65241909,39638.4455678873
208,CDF,STATE,SLU,CASLU,,CDF,Error fix. Alignment to incorporated city boundary,73171.1296386719,3119.45174223563
209,CDF,STATE,SLU,CASLU,,CDF, ,5874964482.09218,1138650.84793444
210,CDF,STATE,SLU,CASLU,,CDF, DPA ID: SLU_011  FEDERAL to STATE DPA,689168.463340759,4113.05366740931
211,CDF,STATE,SLU,CASLU,,CDF, DPA ID: SLU_013  FEDERAL to STATE DPA,129994.949375153,2712.44859660441
212,CDF,STATE,SLU,CASLU,,CDF,"Automatic SRA change SLU-54, passed 8/21/14",295122.726579666,4971.67102839647
213,CDF,STATE,SLU,CASLU,,CDF,DPA ID:  SLU_015  LOCAL to STATE DPA,62573.5388584137,2256.14529311404
214,CDF,STATE,SLU,CASLU,,CDF,DPA ID:  SLU_016 LOCAL to STATE DPA,126647.80921936,5462.51372302127
215,CDF,STATE,SLU,CASLU,,CDF,DPA ID:  SLU_017  LOCAL to STATE DPA,227126.73469162,2476.03560694095
216,CDF,STATE,SLU,CASLU,,CDF,DPA ID: BEU_003  DOD to CDF,96596.3087215424,6788.68103620961
217,CDF,STATE,SLU,CASLU,,CDF,DPA ID: SLU_006  STATE DPA,1441.93040847778,704.220389789282
218,CDF,STATE,SLU,CASLU,,CDF,DPA ID: SLU_009  FEDERAL to STATE DPA,248737.970804214,5503.08733263693
219,CDF,STATE,SLU,CASLU,,CDF,DPA ID: SLU_010  FEDERAL to STATE DPA,1318215.31766129,7271.65961965863
220,CDF,STATE,SLU,CASLU,,CDF,DPA ID: SLU_012  FEDERAL to STATE DPA,119069.471830368,1382.24800197752
221,CDF,STATE,SLU,CASLU,,CDF,DPA ID: SLU_014  FEDERAL to STATE DPA,117801.648944855,1895.4576509253
222,CDF,STATE,SLU,CASLU,,CDF,"NJC_20140218_1107; Cut the background poly to macth update. Changed attributes to update. ",743972.83839035,5754.55873344752
223,CDF,STATE,SLU,CASLU,,CDF,"NJC_20140221_0904; Cut background to match update. Changed attributes to update.",12680.8848571777,1139.15012498984
224,CDF,STATE,SLU,CASLU,,CDF,"NJC_20140221_0916; Cut background to match update. Changed attributes to update. Cleaned slivers around the updae.",565456.435194016,7036.20577163193
225,CDF,STATE,SLU,CASLU,,CDF,"NJC_20140221_0920; Cut background to match update. Changed attributes to update. Cleaned slivers around the updae.",5958.02887916565,366.073937719952
226,CDF,STATE,TCU,CATCU,,CDF,2020 SRA Review: LRA to SRA,811714.221578442,5342.17002255094
227,CDF,STATE,TCU,CATCU,,CDF, ,4922435849.22544,629038.261834346
228,CDF,STATE,TCU,CATCU,,CDF,DPA ID:  TCU_001  ,2758735.49946398,6787.24880651756
229,CDF,STATE,TCU,CATCU,,CDF,"NJC_20140224_0938; Cut background to match update. Changed attributes to match update.",389169.759941623,6441.42537965936
